Mortal	Immortal	Protein	nPeptide	log2FC	log2FC_SE	FDR	log_oddsDE
JFCF_6	JFCF_6_T_1_C	sp|P52565|GDIR1_HUMAN	2	1.40905	1.3212	0.577234	-3.3705
JFCF_6	JFCF_6_T_1_C	sp|P52597|HNRPF_HUMAN	4	-0.140869	0.164219	0.755379	-5.10496
JFCF_6	JFCF_6_T_1_C	sp|P52788|SPSY_HUMAN	1	-0.135824	0.497664	0.723067	-4.85049
JFCF_6	JFCF_6_T_1_C	sp|P52815|RM12_HUMAN	2	0.187789	0.37314	0.751341	-5.06551
JFCF_6	JFCF_6_T_1_C	sp|P52907|CAZA1_HUMAN	5	-0.170679	0.467593	0.771401	-5.31457
JFCF_6	JFCF_6_T_1_C	sp|P52926|HMGA2_HUMAN	1	0.783191	0.39507	0.538964	-3.13473
JFCF_6	JFCF_6_T_1_C	sp|P52943|CRIP2_HUMAN	5	1.09642	0.710552	0.215684	-0.734959
JFCF_6	JFCF_6_T_1_C	sp|P53004|BIEA_HUMAN	2	0.446285	0.268311	0.615418	-3.81193
JFCF_6	JFCF_6_T_1_C	sp|P53007|TXTP_HUMAN	4	1.04636	0.758434	0.357596	-1.80929
JFCF_6	JFCF_6_T_1_C	sp|P53396|ACLY_HUMAN	14	0.757392	0.622924	0.00173523	4.05945
JFCF_6	JFCF_6_T_1_C	sp|P53597|SUCA_HUMAN	1	1.21937	0.157538	0.185616	-0.546216
JFCF_6	JFCF_6_T_1_C	sp|P53618|COPB_HUMAN	6	0.603341	0.668686	0.533824	-3.09075
JFCF_6	JFCF_6_T_1_C	sp|P53621|COPA_HUMAN	9	0.878253	0.521177	0.00104519	4.70623
JFCF_6	JFCF_6_T_1_C	sp|P53634|CATC_HUMAN	2	0.274703	0.0778938	0.701118	-4.62811
JFCF_6	JFCF_6_T_1_C	sp|P53999|TCP4_HUMAN	1	0.869793	0.177259	0.435737	-2.29473
JFCF_6	JFCF_6_T_1_C	sp|P54577|SYYC_HUMAN	6	0.309973	0.226802	0.562396	-3.28726
JFCF_6	JFCF_6_T_1_C	sp|P54578|UBP14_HUMAN	2	0.769517	0.61825	0.601062	-3.64564
JFCF_6	JFCF_6_T_1_C	sp|P54687|BCAT1_HUMAN	2	0.777186	0.151366	0.534688	-3.09207
JFCF_6	JFCF_6_T_1_C	sp|P54709|AT1B3_HUMAN	3	0.870864	0.439815	0.153651	-0.215355
JFCF_6	JFCF_6_T_1_C	sp|P54727|RD23B_HUMAN	2	-0.14554	0.810028	0.759769	-5.16339
JFCF_6	JFCF_6_T_1_C	sp|P54819|KAD2_HUMAN	2	0.0344804	0.25747	0.743404	-4.98598
JFCF_6	JFCF_6_T_1_C	sp|P54886|P5CS_HUMAN	12	0.522455	0.428323	0.149987	-0.181138
JFCF_6	JFCF_6_T_1_C	sp|P54920|SNAA_HUMAN	6	0.348483	0.224471	0.452235	-2.40079
JFCF_6	JFCF_6_T_1_C	sp|P55036|PSMD4_HUMAN	3	0.235828	0.665136	0.761198	-5.16799
JFCF_6	JFCF_6_T_1_C	sp|P55060|XPO2_HUMAN	8	-1.08633	0.971267	0.331395	-1.59742
JFCF_6	JFCF_6_T_1_C	sp|P55072|TERA_HUMAN	17	0.678536	0.386708	1.2073e-08	14.624
JFCF_6	JFCF_6_T_1_C	sp|P55084|ECHB_HUMAN	10	0.847388	0.403597	0.000178932	6.27829
JFCF_6	JFCF_6_T_1_C	sp|P55265|DSRAD_HUMAN	2	-0.316513	0.369735	0.70259	-4.64264
JFCF_6	JFCF_6_T_1_C	sp|P55285|CADH6_HUMAN	2	0.165558	0.149969	0.724018	-4.86141
JFCF_6	JFCF_6_T_1_C	sp|P55769|NH2L1_HUMAN	4	-0.359211	0.244003	0.550567	-3.23069
JFCF_6	JFCF_6_T_1_C	sp|P55786|PSA_HUMAN	3	0.212259	0.223324	0.722109	-4.84304
JFCF_6	JFCF_6_T_1_C	sp|P55795|HNRH2_HUMAN	1	1.72926	1.46295	0.515941	-2.89702
JFCF_6	JFCF_6_T_1_C	sp|P55884|EIF3B_HUMAN	6	0.306381	0.431897	0.664665	-4.29875
JFCF_6	JFCF_6_T_1_C	sp|P56182|RRP1_HUMAN	2	-0.656024	0.409806	0.563162	-3.29238
JFCF_6	JFCF_6_T_1_C	sp|P57105|SYJ2B_HUMAN	1	0.632883	0.194832	0.601707	-3.65163
JFCF_6	JFCF_6_T_1_C	sp|P58546|MTPN_HUMAN	3	0.702418	0.335975	0.237504	-0.925532
JFCF_6	JFCF_6_T_1_C	sp|P59998|ARPC4_HUMAN	3	1.26715	0.899651	0.342341	-1.71488
JFCF_6	JFCF_6_T_1_C	sp|P60033|CD81_HUMAN	2	1.4358	0.299769	0.0819482	0.627726
JFCF_6	JFCF_6_T_1_C	sp|P60059|SC61G_HUMAN	1	1.18309	1.05708	0.580083	-3.39034
JFCF_6	JFCF_6_T_1_C	sp|P60174|TPIS_HUMAN	9	0.331384	0.303777	0.427192	-2.23866
JFCF_6	JFCF_6_T_1_C	sp|P60228|EIF3E_HUMAN	3	-0.222797	0.0831353	0.710089	-4.70231
JFCF_6	JFCF_6_T_1_C	sp|P60468|SC61B_HUMAN	3	1.79553	1.45228	0.490874	-2.66533
JFCF_6	JFCF_6_T_1_C	sp|P60660|MYL6_HUMAN	4	0.280823	0.483167	0.729288	-4.88924
JFCF_6	JFCF_6_T_1_C	sp|P60866|RS20_HUMAN	1	0.294834	0.43004	0.70869	-4.69799
JFCF_6	JFCF_6_T_1_C	sp|P60900|PSA6_HUMAN	6	0.312247	0.635235	0.742032	-4.98092
JFCF_6	JFCF_6_T_1_C	sp|P60903|S10AA_HUMAN	2	-0.59476	0.318638	0.609913	-3.73003
JFCF_6	JFCF_6_T_1_C	sp|P60953|CDC42_HUMAN	6	0.845551	0.553165	0.125322	0.0920103
JFCF_6	JFCF_6_T_1_C	sp|P60981|DEST_HUMAN	4	1.34449	0.693468	0.0641355	0.952606
JFCF_6	JFCF_6_T_1_C	sp|P61006|RAB8A_HUMAN	1	0.354852	0.040978	0.680587	-4.44548
JFCF_6	JFCF_6_T_1_C	sp|P61011|SRP54_HUMAN	2	0.0272783	0.131421	0.74422	-4.98753
JFCF_6	JFCF_6_T_1_C	sp|P61019|RAB2A_HUMAN	3	1.02562	0.709173	0.334537	-1.6346
JFCF_6	JFCF_6_T_1_C	sp|P61020|RAB5B_HUMAN	1	0.263732	0.240466	0.704772	-4.6646
JFCF_6	JFCF_6_T_1_C	sp|P61026|RAB10_HUMAN	2	-0.61561	0.386574	0.582199	-3.41944
JFCF_6	JFCF_6_T_1_C	sp|P61088|UBE2N_HUMAN	2	-0.114061	0.550412	0.765614	-5.23767
JFCF_6	JFCF_6_T_1_C	sp|P61106|RAB14_HUMAN	2	0.798758	0.47251	0.473244	-2.56585
JFCF_6	JFCF_6_T_1_C	sp|P61158|ARP3_HUMAN	2	-0.150306	0.398476	0.736965	-4.95304
JFCF_6	JFCF_6_T_1_C	sp|P61160|ARP2_HUMAN	8	0.432056	0.462343	0.509403	-2.86194
JFCF_6	JFCF_6_T_1_C	sp|P61247|RS3A_HUMAN	6	0.588558	0.262515	0.020399	2.02043
JFCF_6	JFCF_6_T_1_C	sp|P61313|RL15_HUMAN	1	0.130644	0.520291	0.736102	-4.93969
